# x,y,velocity_x(pixel/s),velocity_y(pixel/s),pressure(Pa)
2.529710711550000046e-01,2.500000000000000000e-01,8.471820947478162382e-07,3.346625757822825498e-07,-4.525044660868143609e+00
2.529710711550000046e-01,2.000000000000000111e-01,6.302920794077840928e-07,1.997480955057748840e-07,-3.254964089308939545e+00
2.529710711550000046e-01,1.499999999999999944e-01,5.263121705427007221e-07,1.280705395574864383e-07,-2.471150997703804642e+00
2.529710711550000046e-01,9.999999999999997780e-02,4.674627013156099644e-07,7.772726469443854226e-08,-1.971070038237861866e+00
2.529710711550000046e-01,5.000000000000003747e-02,4.383567057177918935e-07,3.710713752623227140e-08,-1.690191878740712417e+00
2.529710711550000046e-01,0.000000000000000000e+00,4.295283311061464528e-07,0.000000000000000000e+00,-1.598980663022206539e+00
2.810789679499999805e-01,1.000000000000000000e+00,9.299501609331962015e+01,0.000000000000000000e+00,-1.526040451495125128e+00
2.810789679499999805e-01,9.499999999999999556e-01,8.818180186490060635e+01,-1.637985147599152702e+00,-1.562726619427848407e+00
2.810789679499999805e-01,9.000000000000000222e-01,7.320983995027653179e+01,-2.436106917071866107e+00,-1.648128713014140878e+00
2.810789679499999805e-01,8.499999999999999778e-01,4.596090832327014652e+01,-1.553011955106061270e+00,-1.498826208291415440e+00
2.810789679499999805e-01,8.000000000000000444e-01,9.468234846465844047e-05,-3.783662514376354263e-07,-7.629866739176348611e-01
2.810789679499999805e-01,7.500000000000000000e-01,8.622698860688193239e-06,-5.230543432053223678e-07,-1.102900023970321941e+00
2.810789679499999805e-01,6.999999999999999556e-01,1.767981964040497132e-06,-5.779117104473871596e-07,-6.738534235038747155e+00
2.810789679499999805e-01,6.500000000000000222e-01,8.487149768640783527e-07,-2.906393737067627187e-07,-6.186685870831504452e+00
2.810789679499999805e-01,5.999999999999999778e-01,6.588149159845112084e-07,-4.198577443055116793e-07,-7.356693441900604924e+00
2.810789679499999805e-01,5.500000000000000444e-01,4.608964215445672674e-07,-5.075090041079454120e-07,-1.018767330647288283e+01
2.810789679499999805e-01,5.000000000000000000e-01,7.812658520330256510e-07,2.910899932333358939e-07,-1.018776633253510866e+01
2.810789679499999805e-01,4.500000000000000111e-01,7.702307843686861457e-07,5.158673039774010689e-08,-8.245191027556506569e+00
2.810789679499999805e-01,4.000000000000000222e-01,6.213269698676852871e-07,-2.062795133282706347e-07,-1.020099540013826456e+01
2.810789679499999805e-01,3.499999999999999778e-01,7.418581086047264865e-07,-3.851843870921788809e-07,-1.020614809978411763e+01
2.810789679499999805e-01,2.999999999999999889e-01,7.937291821902593742e-07,5.551433189644797817e-07,-1.020757930698644778e+01
